"Risk ID","Item Description",Function,Tech. Class,Novel Aspects,"Failure Mode","Failure Effects","Failure Causes","Initial Mode of Operation","Risk Reduction Design","Preventative Detection","Post Failure Detection","Post Failure Repair Strategy",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended Actions",Responsible Party,"Actions Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended Actions",Responsible Party (2nd),"Actions Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status",Notes,DNV GL comments,CPwr Comments
0811 - 1,Floats,Provide bouyancy for umbilical cable as needed to maintain lazy-S configuration,2,"WEC motion, dynamic cable connection ",Mechanical - decrease in bouyancy  ,"1) Loss of bouyancy in cable lazy-S
2) Increased mechanical stress atWEC
3) Increased mechanical stress on cable",Bio-fouling - additional weight of bio-mass,Normal,"1) Using known/proven marine design technique
2) Inspections

",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0812 - 1 ,Strain reliefs,"Provide mechanical strain relief at either end of the cable, attaching to the WEC and subsea junction box.",2,"WEC motion, dynamic cable connection ",Mechanical - failure of providing strain relief,"1) Strain is applied to cable connection location to WEC & subsea junction
2) If strain due to sea state is high, cable fatigue and failure
(See umbilical cable 0810-4)",Corrosion,Normal,1) Corrosion resistant materials,Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPwr also consistent strain sensor on WEC to strain relief connection point for design model validation.
0812 - 2 ,Strain reliefs,"Provide mechanical strain relief at either end of the cable, attaching to the WEC and subsea junction box.",2,"WEC motion, dynamic cable connection ",Mechanical - failure of providing strain relief,"1) Strain is applied to cable connection location to WEC & subsea junction
2) If strain due to sea state is high, cable fatigue and failure
(See umbilical cable 0810-4)", Wear induced damage,Normal,"1) Designed to avoid wear spots
2) Visual inspection for wear to confirm design
",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPwr also consistent strain sensor on WEC to strain relief connection point for design model validation.
0812 - 3 ,Strain reliefs,"Provide mechanical strain relief at either end of the cable, attaching to the WEC and subsea junction box.",2,"WEC motion, dynamic cable connection ",Mechanical - failure of providing strain relief,"1) Strain is applied to cable connection location to WEC & subsea junction
2) If strain due to sea state is high, cable fatigue and failure
(See umbilical cable 0810-4)", Fatigue induced damage,Normal,Designed for life with FLS analysis,Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPwr also consistent strain sensor on WEC to strain relief connection point for design model validation.
0812 - 4 ,Strain reliefs,"Provide mechanical strain relief at either end of the cable, attaching to the WEC and subsea junction box.",2,"WEC motion, dynamic cable connection ",Mechanical - failure of providing strain relief,"1) Strain is applied to cable connection location to WEC & subsea junction
2) If strain due to sea state is high, cable fatigue and failure
(See umbilical cable 0810-4)",Extreme load induced damage,Normal,Design for extreme loads,Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPwr also consistent strain sensor on WEC to strain relief connection point for design model validation.
0820 - 1,Spar Junction Box,Located at the top of the stbd spar: The main Medium Voltage termination point between the umbilical cable (0810) and umbilical cable connection (0360) ,2,"WEC motion, dynamic cable connection ",Mechanical - failure to provide waterproof enclosure,"1) loss of mechanical connection to electrical bus
2) Electrical fault: ground fault, phase to phase fault
3) loss of grid connectoin
4) WEC switches to islanding mode",Corrosion,Normal,Use of corrosion resistance materials for MV enclosure,Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0820 - 2,Spar Junction Box,Located at the top of the stbd spar: The main Medium Voltage termination point between the umbilical cable (0810) and umbilical cable connection (0360) ,2,"WEC motion, dynamic cable connection ",Mechanical - failure to provide waterproof enclosure,"1) loss of mechanical connection to electrical bus
2) Electrical fault: ground fault, phase to phase fault
3) loss of grid connectoin
4) WEC switches to islanding mode",Water intrusion,Normal,Waterproof marine enclosure design,Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0820 - 3,Spar Junction Box,Located at the top of the stbd spar: The main Medium Voltage termination point between the umbilical cable (0810) and umbilical cable connection (0360) ,2,"WEC motion, dynamic cable connection ",Mechanical - failure to hold electrical conducts in place,"1) loss of mechanical connection to electrical bus
2) Electrical fault: ground fault, phase to phase fault
3) loss of grid connectoin
4) WEC switches to islanding mode",Fatigue,Normal,Minimized dynamic loading due to WEC motion by providing strain relief connections inside enclsosure on cables. ,Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,4,2,2,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0820 - 4,Spar Junction Box,Located at the top of the stbd spar: The main Medium Voltage termination point between the umbilical cable (0810) and umbilical cable connection (0360) ,2,"WEC motion, dynamic cable connection ",Mechanical - failure to hold electrical conductors in place,"1) loss of mechanical connection to electrical bus
2) Electrical fault: ground fault, phase to phase fault
3) loss of grid connectoin
4) WEC switches to islanding mode",Improper installation,Normal,"V&C (QC)
Visual inspection ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,4,2,2,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830 - 1,Subsea Junction,Electrical junction at sea floor between umbilical and subsea cable. Include connection to strain reliefs and archoring weight box. Similar in design to the existing WETS subsea junction box.,1,none -WETS subsea cable design,Mechanical failure - failure to hold cable & cable splice in place,"1) Cable no longer secured to junction location
2) electrical fault (0810)  - loss of grid power",Corrosion,Normal,Use of corrosion resistance materials for MV enclosure,Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830 - 2,Subsea Junction,Electrical junction at sea floor between umbilical and subsea cable. Include connection to strain reliefs and archoring weight box. Similar in design to the existing WETS subsea junction box.,1,none -WETS subsea cable design,Mechanical failure - failure to hold cable & cable splice in place,"1) Cable no longer secured to junction location
2) electrical fault (0810)  - loss of grid power",Water intrusion,Normal,Waterproof marine enclosure design,Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830 - 3,Subsea Junction,Electrical junction at sea floor between umbilical and subsea cable. Include connection to strain reliefs and archoring weight box. Similar in design to the existing WETS subsea junction box.,1,none -WETS subsea cable design,Mechanical failure - failure to hold cable & cable splice in place,"1) Cable no longer secured to junction location
2) electrical fault (0810)  - loss of grid power",Fatigue,Normal,Minimized dynamic loading due to WEC motion by providing strain relief connections inside enclsosure on cables. ,Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830 - 4,Subsea Junction,Electrical junction at sea floor between umbilical and subsea cable. Include connection to strain reliefs and archoring weight box. Similar in design to the existing WETS subsea junction box.,1,none -WETS subsea cable design,Mechanical failure - failure to hold cable & cable splice in place,"1) Cable no longer secured to junction location
2) electrical fault (0810)  - loss of grid power",Improper installation,Normal,"V&C (QC)
Visual inspection ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830 - 5,Subsea Junction,Electrical junction at sea floor between umbilical and subsea cable. Include connection to strain reliefs and archoring weight box. Similar in design to the existing WETS subsea junction box.,1,none -WETS subsea cable design,Electrical failure in insulation or cable splice assembly.,"1) Cable no longer secured to junction location
2) electrical fault (0810)  - loss of grid power",Corrosion,Normal,"1) Use of known splice technique
2) Use of marine rates subsea cable
3) V&V (QC) ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830 - 6,Subsea Junction,Electrical junction at sea floor between umbilical and subsea cable. Include connection to strain reliefs and archoring weight box. Similar in design to the existing WETS subsea junction box.,1,none -WETS subsea cable design,Electrical failure in insulation or cable splice assembly.,"1) Cable no longer secured to junction location
2) electrical fault (0810)  - loss of grid power",Water intrusion,Normal,"1) Use of known splice technique
2) Use of marine rates subsea cable
3) V&V (QC) ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830 - 7,Subsea Junction,Electrical junction at sea floor between umbilical and subsea cable. Include connection to strain reliefs and archoring weight box. Similar in design to the existing WETS subsea junction box.,1,none -WETS subsea cable design,Electrical failure in insulation or cable splice assembly.,"1) Cable no longer secured to junction location
2) electrical fault (0810)  - loss of grid power",Fatigue,Normal,"1) Use of known splice technique
2) Use of marine rates subsea cable
3) V&V (QC) ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830 - 8,Subsea Junction,Electrical junction at sea floor between umbilical and subsea cable. Include connection to strain reliefs and archoring weight box. Similar in design to the existing WETS subsea junction box.,1,none -WETS subsea cable design,Electrical failure in insulation or cable splice assembly.,"1) Cable no longer secured to junction location
2) electrical fault (0810)  - loss of grid power",Improper installation,Normal,"1) Use of known splice technique
2) Use of marine rates subsea cable
3) V&V (QC) ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0840 - 1 ,Subsea cable - between junction boxes,Cable between subsea junction box and WETS subsea junction box. Includes interface details for connectoin to WETS,1,none - WETS subsea cable design,Electrical fault,1) Electrical fault - grid connection breakers open,Improper installation,Normal,"1) Use of known installation technique
2) Use of marine rates subsea cable
3) V&V (QC) ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,6,2,2,7,6,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0840 - 2 ,Subsea cable - between junction boxes,Cable between subsea junction box and WETS subsea junction box. Includes interface details for connectoin to WETS,1,none - WETS subsea cable design,Electrical fault,1) Electrical fault - grid connection breakers open,Manufacturing flaw,Normal,"1) Use of known installation technique
2) Use of marine rates subsea cable
3) V&V (QC) ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,6,2,2,7,6,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
