"Risk
ID","Item
Description",Function,Tech. Class,Novel Aspects,"Failure
Mode","Failure 
Effects
(Local, WEC, System)","Failure
Cause(s)","Initial Mode
 of
Operation
","Risk Reduction 
Design","Preventative
Detection","Post Failure
Detection","Post Failure
Repair
Strategy 
(automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",Responsible Party,"Actions
Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended
Actions",Responsible Party (2nd),"Actions
Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status
(open or closed)",Notes,DNV GL comments,CPwr Comment
0320-2,DC Bus,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Short DC bus,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",Improper installation or manufacturing defect results in failure,Normal,"1) V&V (QC)
2) Independent buses, one for each PTO",none,SCADA Diagnostics,Manual in-situ inspection and repair,5,1,1,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0310-2,OK
0320-3,DC Bus,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Short DC bus,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",Vibration and/or motion induced failure,Normal,"1) Vibration analysis
2) Equipment and installation designed for dynamic environment
3) Independent buses, one for each PTO",none,SCADA Diagnostics,Manual in-situ inspection and repair,5,1,1,5,5,Low,Low,Low,Low,"Vibration induced failure is normally expected to have occurrence class 7, same as that for MoMo. Given the novelty, the probability of failure remains uncertain unless manufacturer is able to provide evidence or data to show that the reliability of the component is compatible to the occurrence class assigned. Therefore, it is recommended to use severity class 7 such that a recommended action is given to ensure the risks are controlled.",,,,,,,,,,,,,,,,,,,,,,,,,,"Please provide the basis of using different occurrence class for failure cause ""Vibration and/or motion induced failure"" for all the components in the electric plant.
Vibration induced failure is normally expected to have occurrence class 7, same as that for MoMo. Given the novelty, the probability of failure remains uncertain unless manufacturer is able to provide evidence or data to show that the reliability of the component is compatible to the occurrence class assigned. Therefore, it is recommended to use severity class 7 such that a recommended action is given to ensure the risks are controlled.",Agreed. Vibration analysis at mounting location and design to incorporate vibration mitigation to reduce risk of a vibration induced failure or fault shall be included in all 0300 engineering design requirements. 
0320-4,DC Bus,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Short DC bus,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO","Water induced failure 
(non-corrosion)",Normal,"1) Dry control room
2) Marine rated design 
3) Independent buses, one for each PTO","1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics,Manual in-situ inspection and repair,7,1,1,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,DC cross-connection is an electrical DC connection linking all MoMo to a signal DC bus. This allows for better power smoothing and increases the reliability of power production.  Port/Stbd MoMo power production can therfore be fed to either port/stbd ALM+AIM to grid.,"Please clarify the ""Open DC cross connect"" failure effect",OK add notes
0320-5,DC Bus,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Open DC bus,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",Corrosion induced failure short circuit,Normal,"1)Marine rated corrosion resistance design
2) Independent buses, one for each PTO

",1) Visual inspection,SCADA Diagnostics,Manual in-situ inspection and repair,7,1,1,5,5,Low,Low,Med,Med,"Use watertight cable, connectors and enclosures.  Route cable for no rubbing abrasion. ",,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0330-1,"OK,  but disagree with increased occurrence the blanketed response using ""FLS"" for reasoning  - Explain how to relate Fatigue Limit State to the hard mounted electrical bus?"
0320-6,DC Bus,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Open DC bus,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",Improper installation or manufacturing defect results in failure,Normal,"1) V&V (QC)
2) Independent buses, one for each PTO",none,SCADA Diagnostics,Manual in-situ inspection and repair,5,1,1,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0310-2,OK
0320-7,DC Bus,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Open DC bus,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",Vibration and/or motion induced failure,Normal,"1) Vibration analysis
2) Equipment and installation designed for dynamic environment
3) Independent buses, one for each PTO",none,SCADA Diagnostics,Manual in-situ inspection and repair,5,1,1,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,see comment in risk 0320-3,OK
0320-8,DC Bus,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",3,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Short DC bus,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",Corrosion induced failure short circuit,Normal,"1)Marine rated corrosion resistance design
2) Independent buses, one for each PTO",1) Visual inspection,SCADA Diagnostics,Manual in-situ inspection and repair,5.285714286,1,1,5,5,Low,Low,Low,Low,"Use watertight cable, connectors and enclosures.  Route cable for no rubbing abrasion. ",,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0330-2,OK
0320-9,DC Bus,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",4,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Short DC bus,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",Improper installation or manufacturing defect results in failure,Normal,"1) V&V (QC)
2) Independent buses, one for each PTO",none,SCADA Diagnostics,Manual in-situ inspection and repair,5.142857143,1,1,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0310-3,OK
0330-1,Energy Storage ,"Power smoothing
Stores and provides energy to the ALM",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Faulted Energy Storage,"1) Loss of power smoothing capability
2) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
3) Reduced damping due to power limit
",Corrosion induced failure short/open circuit,Normal,"1) Marine rated corrosion resistance design
2) Divided system, two energy storage, one port, one stbd. 
",1) Visual inspection,SCADA Diagnostics,Manual in-situ inspection and repair,7,1,1,6,5,Low,Low,Med,Med,"1) HECO interface requirements needed
",,,,,,,,,,,,,,,,,,,,,,,,,Should include controllable power burn resistor bank for loss of energy storage & loss of grid connection faults,"Corrosion induced failure should have probability of failure corresponding to FLS design criteria. Although the component is marinised, the probability of failure remains uncertain unless the manufacturer is able to provide evidence or data to demonstrate the reliability of the component is compatible to the occurrence class assigned. Therefore, it is recommended to use severity class 7 such that a recommended action is given to ensure the risks are controlled.","OK - FLS - ""vibrations"" need to be applied to the mounting of all equipment within the enclosures. The control room climate control system is responsible for maintaining the humidity, and corrosion due to the presence of moisture should be maintained at an acceptable level beyond any risk of FLS."
0330-2,Energy Storage ,"Power smoothing
Stores and provides energy to the ALM",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Faulted Energy Storage,"1) Loss of power smoothing capability
2) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
3) Reduced damping due to power limit
",Improper installation or manufacturing defect results in failure,Normal,"1) V&V (QC)
2) Divided system, two energy storage, one port, one stbd. ",none,SCADA Diagnostics,Manual in-situ inspection and repair,5,1,1,6,5,Low,Low,Low,Low,"1) HECO interface requirements needed
",,,,,,,,,,,,,,,,,,,,,,,,,Should include controllable power burn resistor bank for loss of energy storage & loss of grid connection faults,See comment in Risk ID 0310-2,OK
0330-3,Energy Storage ,"Power smoothing
Stores and provides energy to the ALM",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Faulted Energy Storage,"1) Loss of power smoothing capability
2) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
3) Reduced damping due to power limit
",Vibration and/or motion induced failure,Normal,"1) Vibration analysis
2) Equipment and installation designed for dynamic environment
3) Divided system, two energy storage, one port, one stbd. ",none,SCADA Diagnostics,Manual in-situ inspection and repair,6,1,1,6,5,Low,Low,Med,Low,"1) HECO interface requirements needed
",,,,,,,,,,,,,,,,,,,,,,,,,Should include controllable power burn resistor bank for loss of energy storage & loss of grid connection faults,see comment in risk 0320-3,OK
0330-4,Energy Storage ,"Power smoothing
Stores and provides energy to the ALM",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Faulted Energy Storage,"1) Loss of power smoothing capability
2) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
3) Reduced damping due to power limit
","Water induced failure 
(non-corrosion)",Normal,"1) Marine rated waterproof design 
2) Divided system, two energy storage, one port, one stbd. 
","1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics,Manual in-situ inspection and repair,4,1,1,6,5,Low,Low,Low,Low,"1) HECO interface requirements needed
2) Define energy storage water resistance
",,,,,,,,,,,,,,,,,,,,,,,,,"Should include controllable power burn resistor bank for loss of energy storage & loss of grid connection faults,  Caps are IP-65",Occurrence class is lower than that in the MoMo for the same failure cause. Please explain.,There are more MoMo enclosures than energy storage. Put to the same value of occurrence.
0330-5,Energy Storage ,"Power smoothing
Stores and provides energy to the ALM",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fire/smoke,"1) Electrically isolate enclosures with smoke/fire
2) Automatic fire suppression activated in enclosure by presence of fire/heat
3) Loss of power smoothing capability
4) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
5) Reduced damping due to power limit
",Electrical short fault leads to smoke/fire  ,Normal,"1) Safety & Emergency system - smoke alarm - SCADA initiated electrical isolation of enclosures with smoke/fire
2) Automatic fire suppression activated in enclosure by presence of fire/heat – CO2 fills enclosure
3) Loss of power smoothing capability
4) Reduction in power production to HECO grid connection limit 500kW. No power smoothing results in reduced average power production  
5) Reduced damping due to power limit

","1) Safety & Emergency systems smoke alarm - isolate before fire breaks out
2) SCADA diagnostics 
3) Surveillance - visual inspection 

",SCADA Diagnostics,Manual in-situ inspection and repair  - dry dock repair is damage is extensive,7,1,1,5,5,Low,Low,Med,Med,Energy storage will include resistive discharge in case of a fire. Energy storage will electrically isolate from the M2G then discharge the capacitors via local discharge resistor. ,,,,,,,,,,,,,,,,,,,,,,,,,Should include controllable power burn resistor bank for loss of energy storage & loss of grid connection faults,See comment in risk ID 0320-9,Engineering design requirements are being modified to increase safety for maintenance and in care of fault.
0340-1,ALM+AIM grid interface,"Controls level and quality of power delivered to the grid 
",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed ALM+AIM grid interface,"1) Electrically isolate the ALM+AIM from dc bus 
2) Power to grid  reduced to one ALM, half capacity (e.g. 300kW)
2) Loss of power generation 
3)Adverse effect in heavy wave climate",Corrosion induced failure short circuit,Normal,"1)Marine rated corrosion resistance design
2) Redundant design, two ALM+AIM grid interface modules",1) Visual inspection,SCADA Diagnostics,Manual in-situ inspection and repair,7,1,1,4,5,Low,Low,Low,Med,,,,,,,,,,,,,,,,,,,,,,,,,,"Depending on the amount of power smoothing required, power reduction or power burn could occur.  For example, if power is allowed to vary from 0-500kW and each ALM is 300kW, power now is reduced to band of 0-300kW.",See comment in Risk ID 0330-1,OK
0340-2,ALM+AIM grid interface,"Controls level and quality of power delivered to the grid 
",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed ALM+AIM grid interface,"1) Electrically isolate the ALM+AIM from dc bus 
2) Power to grid  reduced to one ALM, half capacity (e.g. 300kW)
2) Loss of power generation 
3)Adverse effect in heavy wave climate",Improper installation or manufacturing defect results in failure,Normal,"1) V&V (QC)
2) Redundant design, two ALM+AIM grid interface modules",none,SCADA Diagnostics,Manual in-situ inspection and repair,5,1,1,4,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,"Depending on the amount of power smoothing required, power reduction or power burn could occur.  For example, if power is allowed to vary from 0-500kW and each ALM is 300kW, power now is reduced to band of 0-300kW.",See comment in Risk ID 0310-2,OK
0340-3,ALM+AIM grid interface,"Controls level and quality of power delivered to the grid 
",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed ALM+AIM grid interface,"1) Electrically isolate the ALM+AIM from dc bus 
2) Power to grid  reduced to one ALM, half capacity (e.g. 300kW)
2) Loss of power generation 
3)Adverse effect in heavy wave climate",Vibration and/or motion induced failure,Normal,"1) Vibration analysis
2) Equipment and installation designed for dynamic environment
3) Redundant design, 2 ALM+AIM grid interface modules",none,SCADA Diagnostics,Manual in-situ inspection and repair,6,1,1,4,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,"Depending on the amount of power smoothing required, power reduction or power burn could occur.  For example, if power is allowed to vary from 0-500kW and each ALM is 300kW, power now is reduced to band of 0-300kW.",see comment in risk 0320-3,OK
0340-4,ALM+AIM grid interface,"Controls level and quality of power delivered to the grid 
",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed ALM+AIM grid interface,"1) Electrically isolate the ALM+AIM from dc bus 
2) Power to grid  reduced to one ALM, half capacity (e.g. 300kW)
2) Loss of power generation 
3)Adverse effect in heavy wave climate","Water induced failure 
(non-corrosion)",Normal,"1)Marine rated waterproof enclosure
2) Redundant design, two ALM+AIM grid interface modules","1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics,Manual in-situ inspection and repair,6,1,1,4,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,"Depending on the amount of power smoothing required, power reduction or power burn could occur.  For example, if power is allowed to vary from 0-500kW and each ALM is 300kW, power now is reduced to band of 0-300kW.",Occurrence class is lower than that in the MoMo for the same failure cause. Please explain.,OK
0340-5,"ALM+AIM grid interface
Enclosure","Controls level and quality of power delivered to the grid 
",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fire/smoke,"1) Electrically isolate enclosures with smoke/fire
2) Automatic fire suppression activated in enclosure by presence of fire/heat
3) Loss of power generation
4) Adverse effect in heavy wave climate",Electrical short fault leads to smoke/fire  ,Normal,"1) Safety & Emergency system - smoke alarm - SCADA initiated electrical isolation of enclosures with smoke/fire
2) Automatic fire suppression activated in enclosure by presence of fire/heat – CO2 fills enclosure
3) Redundant design, two PTOs
4) Redundant design, two ALM+AIM grid interface modules","1) Safety & Emergency systems smoke alarm - isolate before fire breaks out
2) SCADA diagnostics 
3) Surveillance  - visual inspection 
","1) Enclosure fire alarm
2) Enclosure temperature
3) Visible and IR camera",Dry dock repair ,5,1,1,7,7,Low,Low,Med,Med,Design in-situ replacement if possible.  ALM+AIM is a large component in enclosure and would be difficult to replace in-situ.  Design planning for replacement method necessary.,,,,,,,,,,,,,,,,,,,,,,,,,,"See comment in risk ID 0320-9
Dry dock repair is assumed to match the severity class",OK
0350-1,MV Transformer,Transforms AC power from 480V to 11.5kV for utility grid connection,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed MV Transformer,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping
",Corrosion induced failure short circuit,Normal,"1) Marine rated transformer
",1) Visual inspection,SCADA Diagnostics,Dry dock repair,6,1,1,7,7,Low,Low,Med,Med,"Use a CRT marine rated transformer
",,,,,,,,,,,,,,,,,,,,,,,,,A marine cast resin transformer will be used. The transformer will be centrally located in the nacelle isolated to limit personnel access.,See comment in Risk ID 0330-1,"OK, agreed on all dry dock repair. Marine cast resin transformers (CRT) are certified for marine and offshore applications by DNV GL, ABS etc. all over the world.  How does the rated corrosion resistance relate to the FLS? Seems the FLS would relate to the mounting hardware etc. and not to the electrical properties of the transformer performing its function.  This is not a higher occurrence since it's application same as other marine transformers.  Do other marine transformers have a high rate of corrosion induced failure? A high failure rate would be bad for the marine transformer industry. The mounting technique will be put under FLS scrutiny"
0350-2,MV Transformer,Transforms AC power from 480V to 11.5kV for utility grid connection,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed MV Transformer,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping
",Improper installation or manufacturing defect results in failure,Normal,1) V&V (QC),none,SCADA Diagnostics,Dry dock repair,4,1,1,7,7,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0310-2,"OK, agreed on all dry dock repair."
0350-3,MV Transformer,Transforms AC power from 480V to 11.5kV for utility grid connection,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed MV Transformer,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping
",Vibration and/or motion induced failure,Normal,"1) Vibration analysis
2) Equipment and installation designed for dynamic environment",none,SCADA Diagnostics,Dry dock repair,4,1,1,7,7,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,see comment in risk ID 0320-3,"OK, agreed on all dry dock repair."
