"Risk
ID","Item
Description",Function,Tech. Class,Novel Aspects,"Failure
Mode","Failure 
Effects
(Local, WEC, System)","Failure
Cause(s)","Initial Mode
 of
Operation
","Risk Reduction 
Design","Preventative
Detection","Post Failure
Detection","Post Failure
Repair
Strategy 
(automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",Responsible Party,"Actions
Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended
Actions",Responsible Party (2nd),"Actions
Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status
(open or closed)",Notes
0543-1,Power distribution to Auxiliary System,distribute power to all auxiliary systems,1,none,Electrical fault,"1) Loss of UPS
","1) Corrosion induced failure short circuit
2) Water induced failure
3) Vibration induced failure
4) Improper installation",Normal,"1) Marine design and installation
2) V&V (QC)","1) SCADA diagnostics 
2) Visual inspection",1) SCADA Diagnostics,Manual in-situ repair and inspection,3,1,1,7,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,
0543-2,Power distribution to Auxiliary System,distribute power to all auxiliary systems,1,none,Electrical fault - smoke/fire,"1) Loss of UPS
","1) Corrosion induced failure short circuit
2) Water induced failure
3) Vibration induced failure
4) Improper installation",Normal,"1) Marine design and installation
2) V&V (QC)","1) SCADA diagnostics 
2) Visual inspection","1) Smoke alarms - reduce time to electrically isolate 
2) Over-current protection - for electrical isolation
3) Automatic fire suppression ",Manual in-situ repair and inspection,5,1,1,7,7,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,
0544-1,UPS system,Provide battery back-up uninterruptible power to critical loads,1,none,Electrical fault,"1) Loss of UPS
","1) Corrosion induced failure short circuit
2) Water induced failure
3) Vibration induced failure
4) Improper installation",Normal,"1) Marine design and installation
2) V&V (QC)","1) SCADA diagnostics 
2) Visual inspection",1) SCADA Diagnostics,Manual in-situ repair and inspection,3,1,1,7,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,
0544-2,UPS system,Provide battery back-up uninterruptible power to critical loads,1,none,Electrical fault - following a loss of all AC Power,"1) Loss of UPS
2) Loss of all WEC Power

","1) Corrosion induced failure short circuit
2) Water induced failure
3) Vibration induced failure
4) Improper installation",Emergency  - using UPS power,"1) Marine design and installation
2) V&V (QC)","1) SCADA diagnostics 
2) Visual inspection",1) SCADA Diagnostics,Manual in-situ repair and inspection,3,1,1,7,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,
0544-3,UPS system,Provide battery back-up uninterruptible power to critical loads,1,none,Electrical fault - following a loss of all AC Power,"1) Loss of UPS
2) Loss of all WEC Power

","1) Corrosion induced failure short circuit
2) Water induced failure
3) Vibration induced failure
4) Improper installation",Normal,"1) Marine design and installation
2) V&V (QC)","1) SCADA diagnostics 
2) Visual inspection","1) Smoke alarms - reduce time to electrically isolate 
2) Over-current protection - for electrical isolation
3) Automatic fire suppression ",Manual in-situ repair and inspection,6,1,1,7,7,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
