"Risk
ID","Item
Description",Function,Tech. Class,Novel Aspects,"Failure
Mode","Failure 
Effects
(Local, WEC, System)","Failure
Cause(s)","Initial Mode
 of
Operation
","Risk Reduction 
Design","Preventative
Detection","Post Failure
Detection","Post Failure
Repair
Strategy 
(automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",Responsible Party,"Actions
Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended
Actions",Responsible Party (2nd),"Actions
Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status
(open or closed)",Notes
0713-1,Single point hawser lines,"Load transfer from Bridle to WETS moorings
Provide restoring forces for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single hawser failure,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Extreme load induced damage (Overload),Normal,1) Redundant system (WEC remains moored),none,"1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",5,1,1,9,7,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",,,,,,,,,,,,,,,,,,,,,,,,,
0713-2,Single point hawser lines,"Load transfer from Bridle to WETS moorings
Provide restoring forces for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single hawser failure,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Snap loads,Normal,1) Redundant system (WEC remains moored),none,"1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",4,1,1,9,7,Low,Low,Med,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) load cases to include investigation of snap loading",,,,,,,,,,,,,,,,,,,,,,,,,
0713-3,Single point hawser lines,"Load transfer from Bridle to WETS moorings
Provide restoring forces for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single hawser failure,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Fatigue induced damage,Normal,1) Redundant system (WEC remains moored),"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",,,,,,,,,,,,,,,,,,,,,,,,,
0713-4,Single point hawser lines,"Load transfer from Bridle to WETS moorings
Provide restoring forces for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single hawser failure,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Non-service ship strike,Normal,"1) Redundant system (WEC remains moored)
2) Lights, radar reflectors (e.g. visibility)
3) Hawsers and hardware below ship draft (~4m)",none,"1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",3,1,1,9,7,Low,Low,Med,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) establish exclusion zone at deployed area",,,,,,,,,,,,,,,,,,,,,,,,,"probability of occurrence to be reviewed; if there are likely to be ships in the area with draft more than 3-4 m, then the occurrence will be higher than 3"
0713-5,Single point hawser lines,"Load transfer from Bridle to WETS moorings
Provide restoring forces for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single hawser failure,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)","Fish bite
",Normal,1) Redundant system (WEC remains moored),"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Visual detection","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",8,1,1,9,7,Low,Low,High,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) analysis: expected fish bite failures and detectability with regular inspections
3) protective sheath on the lines at risk for fish bite, if warranted
","1) Marine contractor
2) Marine contractor feasibility study",,,,,,,,,,,,,,,,,,,,,,,,
0713-6,Single point hawser lines,"Load transfer from Bridle to WETS moorings
Provide restoring forces for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single hawser failure,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Vandalism/ negligence,Normal,"1) Redundant system (WEC remains moored)
2) Surveillance system
3) Hawsers and hardware below easy access (~4m)",none,"1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",4,1,1,9,7,Low,Low,Med,Low,1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure,"1) Marine contractor
2) Marine contractor feasibility study",,,,,,,,,,,,,,,,,,,,,,,,
0713-7,Single point hawser lines,"Load transfer from Bridle to WETS moorings
Provide restoring forces for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single hawser failure,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Material degradation due to exposure to UV,Normal,1) Redundant system (WEC remains moored),"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure,,,,,,,,,,,,,,,,,,,,,,,,,"CPwr to provide recommended actions to reduce risk of failure due to UV exposure, if warranted"
0713-8,Single point hawser lines,"Load transfer from Bridle to WETS moorings
Provide restoring forces for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single hawser failure,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Degradation due to marine growth,Normal,1) Redundant system (WEC remains moored),"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure,,,,,,,,,,,,,,,,,,,,,,,,,"CPwr to provide recommended actions to reduce risk of failure due to marine growth, if warranted"
0714-1,Single point MB-225 foam buoy,"Provide buoyancy to the mooring system, maintain tension in the mooring lines and geometric configuration of the mooring system",2,"Loading
Long term buoyancy loss",Collapse/loss of buoyancy,"1) Change to WEC orientation
2) Sub-optimal WEC response
3) Possible entaglement between single point sinker and umbilical",Non-service ship strike,Normal,"1) Lights, radar reflectors (e.g. visibility)",none,1) Visual detection,Replace on site,3,1,1,4,4,Low,Low,Low,Low,1) establish exclusion zone at deployed area,,,,,,,,,,,,,,,,,,,,,,,,,
0714-2,Single point MB-225 foam buoy,"Provide buoyancy to the mooring system, maintain tension in the mooring lines and geometric configuration of the mooring system",2,"Loading
Long term buoyancy loss",Loss of buoyancy,"1) Change to WEC orientation
2) Sub-optimal WEC response
3) Possible entaglement between single point sinker and umbilical",Material degradation leading to loss of buoyancy,Normal,none,"Regularly scheduled visual inspection, with repair/ replacement as needed",1) Visual detection,Replace on site,7,1,1,4,4,Low,Low,Low,Low,1) Inspection of buoy to detect loss of buoyancy or damage to be implemented,,,,,,,,,,,,,,,,,,,,,,,,,
0715-1,Single point sinker,"Provide weight to foam buoy. 
Connection point between Brindle and single point mooring",2,"Loading
Local bending of chain link",Crack/Loss of mass,"1) Loss of WEC orientation and equilibrium position
2) Possible loss of umbilical connectivity (see 0800)
3) Possible loss of buoy, BOB - buoy on beach or BOTS - buoy out to sea
4) Possible damage to WEC",Extreme loading (overload),Normal,none,none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",5,4,7,9,9,Low,Med,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",,,,,,,,,,,,,,,,,,,,,,,,,"1) Assumes that if the sinker fails, the WEC bridle will no longer be connected to the existing mooring
2) Assumes that buoy on beach results in significant damage to the structure"
0715-2,Single point sinker,"Provide weight to foam buoy. 
Connection point between Brindle and single point mooring",2,"Loading
Local bending of chain link",Crack/Loss of mass,"1) Loss of WEC orientation and equilibrium position
2) Possible loss of umbilical connectivity (see 0800)
3) Possible loss of buoy, BOB - buoy on beach or BOTS - buoy out to sea
4) Possible damage to WEC",Snap loads,Normal,none,none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",4,4,7,9,9,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) load cases to include investigation of snap loading",,,,,,,,,,,,,,,,,,,,,,,,,"1) Assumes that if the sinker fails, the WEC bridle will no longer be connected to the existing mooring
2) Assumes that buoy on beach results in significant damage to the structure"
0715-3,Single point sinker,"Provide weight to foam buoy. 
Connection point between Brindle and single point mooring",2,"Loading
Local bending of chain link",Crack/Loss of mass,"1) Loss of WEC orientation and equilibrium position
2) Possible loss of umbilical connectivity (see 0800)
3) Possible loss of buoy, BOB - buoy on beach or BOTS - buoy out to sea
4) Possible damage to WEC",Fatigue induced damage,Normal,none,"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",7,4,7,9,9,Low,Med,High,High,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",,,,,,,,,,,,,,,,,,,,,,,,,"1) Assumes that if the sinker fails, the WEC bridle will no longer be connected to the existing mooring
2) Assumes that buoy on beach results in significant damage to the structure"
0715-4,Single point sinker,"Provide weight to foam buoy. 
Connection point between Brindle and single point mooring",2,"Loading
Local bending of chain link",Crack/Loss of mass,"1) Loss of WEC orientation and equilibrium position
2) Possible loss of umbilical connectivity (see 0800)
3) Possible loss of buoy, BOB - buoy on beach or BOTS - buoy out to sea
4) Possible damage to WEC",Non-service ship strike,Normal,none,none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",3,4,7,9,9,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) establish exclusion zone at deployed area",,,,,,,,,,,,,,,,,,,,,,,,,"1) Assumes that if the sinker fails, the WEC bridle will no longer be connected to the existing mooring
2) Assumes that buoy on beach results in significant damage to the structure"
0716-1,"Single point shackles, pendants","Connection points for Hawser lines to chain, pendant and buoy
Load transfer",2,Loading,Yield/crack,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Extreme load induced damage (Overload),Normal,"1) Redundant system (WEC remains moored)
2) Conservative design (partial safety factors)",none,"1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",5,1,1,9,7,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.","1) Marine contractor
2) Marine contractor feasibility study",,,,,,,,,,,,,,,,,,,,,,,,
0716-2,"Single point shackles, pendants","Connection points for Hawser lines to chain, pendant and buoy
Load transfer",2,Loading,Yield/crack,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Snap loads,Normal,1) Redundant system (WEC remains moored),none,"1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",4,1,1,9,7,Low,Low,Med,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) load cases to include investigation of snap loading",,,,,,,,,,,,,,,,,,,,,,,,,
0716-3,"Single point shackles, pendants","Connection points for Hawser lines to chain, pendant and buoy
Load transfer",2,Loading,Yield/crack,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Fatigue induced damage,Normal,"1) Redundant system (WEC remains moored)
2) Material selection  and component sizing
3) Conservative design (partial safety factors)","Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",,,,,,,,,,,,,,,,,,,,,,,,,
0716-4,"Single point shackles, pendants","Connection points for Hawser lines to chain, pendant and buoy
Load transfer",2,Loading,Yield/crack,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Non-service ship strike,Normal,"1) Redundant system (WEC remains moored)
2) Lights, radar reflectors (e.g. visibility)
3) Hawsers and hardware below ship draft (~4m)",none,"1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",3,1,1,9,7,Low,Low,Med,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) establish exclusion zone at deployed area","1) Marine contractor
2) Marine contractor feasibility study",,,,,,,,,,,,,,,,,,,,,,,,"Assume pendant is made of steel, hence failure cause related to polyester material is not considered. "
0716-5,"Single point shackles, pendants","Connection points for Hawser lines to chain, pendant and buoy
Load transfer",2,Loading,Yield/crack,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Vandalism/ negligence,Normal,"1) Redundant system (WEC remains moored)
2) Surveillance system
3) Hawsers and hardware below easy access (~4m)",none,"1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",4,1,1,9,7,Low,Low,Med,Low,1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure,,,,,,,,,,,,,,,,,,,,,,,,,
0716-6,"Single point shackles, pendants","Connection points for Hawser lines to chain, pendant and buoy
Load transfer",2,Loading,Yield/crack,"1) Change in mooring system response and loads
2) Significantly greater watch circle
3) Loss of aft mooring line
4) Loss of umbilical connectivity (see 0800)",Corrosion,Normal,1) Redundant system (WEC remains moored),"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Visual detection
3) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) CPwr to confirm that corrosion allowance has been considered in the structural design; if not, corrosion allowance to be defined as per DNV-OS-E301 with annual inspection",,,,,,,,,,,,,,,,,,,,,,,,,
0720-1,Bridle (hawswer lines and hardware),"Constrain WEC to weathervane about the single point
Yaw stability",2,Loading,Double bridle line failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical connectivity (see 0800)
3) BOB - buoy on beach or BOTS - buoy out to sea
4) Entanglement of WEC in mooring system
5) Damage to mooring connection point at the hull area",Extreme load induced damage,Normal,none,none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",4,4,7,9,9,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event
3) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure","1) Marine contractor feasibility study
2) Marine contractor",,,,,,,,,,,,,,,,,,,,,,,,1) Assumes that buoy on beach results in significant damage to the structure
0720-2,Bridle (hawswer lines and hardware),"Constrain WEC to weathervane about the single point
Yaw stability",2,Loading,Double bridle line failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical connectivity (see 0800)
3) BOB - buoy on beach or BOTS - buoy out to sea
4) Entanglement of WEC in mooring system
5) Damage to mooring connection point at the hull area",Snap loads,Normal,none,none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",3,4,7,9,9,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event
3) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure
4) load cases to include investigation of snap loading",,,,,,,,,,,,,,,,,,,,,,,,,1) Assumes that buoy on beach results in significant damage to the structure
