"Risk ID","Item Description",Function,"Tech. Class",Novel Aspects,"Failure Mode","Failure Effects (Local, WEC, System)","Failure Causes","Initial Mode of Operation","Risk Reduction Design","Preventative
Detection","Post Failure Detection","Post Failure Repair Strategy (automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",DVN GL comments,CPWR Response Notes,Responsible Party,"Actions Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended Actions",Responsible Party (2nd),"Actions Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status (open or closed)",Notes
250-2,PTO shaft,Transmit torque from float drive arm to the rotor,2,Loading,Steel fracture,"1) Shaft broken off
2) Loss of torque transmitted to PTO
3) Damage to nacelle tube from broken off shaft and float arm",Manufacturing defect,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,3,1,1,9,8,Low,Low,Med,Low,"1) Cpower to provide evidence that maintenance not needed in 20 years by manufacturer for all loading cases and with use of lubrication system
2) Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class.",Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-3,PTO shaft,Transmit torque from float drive arm to the rotor,2,Loading,Steel fracture,"1) Shaft broken off
2) Loss of torque transmitted to PTO
3) Damage to nacelle tube from broken off shaft and float arm","Contamination, corrosion",Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,1,9,8,Low,Low,Med,Med,,Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-4,PTO shaft,Transmit torque from float drive arm to the rotor,2,Loading,Steel fracture,"1) Shaft broken off
2) Loss of torque transmitted to PTO
3) Damage to nacelle tube from broken off shaft and float arm",Extreme loading,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,1,9,8,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) Research how to measure loads during StingRAY to increase certainty of extreme load modelling",Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-5,PTO rotor,Transmit torque from drive shaft to rotor segments,2,Loading,FRP fracture,"1) FRP rotor no longer maintains airgap
2) Loss of PTO
3) Stator and rotor components damaged",Wear/fatigue,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,1,9,8,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-6,PTO rotor,Transmit torque from float drive arm to the rotor,2,Loading,FRP fracture,"1) FRP rotor no longer maintains airgap
2) Loss of PTO
3) Stator and rotor components damaged",Manufacturing defect,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,3,1,1,9,8,Low,Low,Med,Low,"1) Cpower to provide evidence that maintenance not needed in 20 years by manufacturer for all loading cases and with use of lubrication system
2) Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class.",Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-7,PTO rotor,Transmit torque from float drive arm to the rotor,2,Loading,FRP fracture,"1) FRP rotor no longer maintains airgap
2) Loss of PTO
3) Stator and rotor components damaged","Contamination, corrosion",Normal,FRP material selection,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,3,1,1,9,8,Low,Low,Med,Low,,Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-8,PTO rotor,Transmit torque from float drive arm to the rotor,2,Loading,FRP fracture,"1) FRP rotor no longer maintains airgap
2) Loss of PTO
3) Stator and rotor components damaged",Extreme loading,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,1,9,8,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) Research how to measure loads during StingRAY to increase certainty of extreme load modelling",Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
"261-1
262-1",Main Bearings,"Allow smooth rotation of rotor
Constrain relative generator (and float/nacelle) motion to 1 DOF
Transmit loads from drive arms to nacelle tube
Transmit loads on PTO hulls to PTO shafts",2,Loading,Binding,"1) Damaged raceway
2) Broken rollers
3) Added friction
",Wear/fatigue,Normal,None,none,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Moderate increase in friction accepted,4,1,1,5,6,Low,Low,Low,Low,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.","General comment for all items that has ""high safety factors"" as risk reduction design
Please clarify if ""high safety factor"" means higher than recommended safety factors in the standard and explain how it can be demonstrated that it provides sufficient margin to lower the probability of occurrence to the (occurrence) class assigned for each risks.",See recommended action 1,,,,,,,,,,,,,,,,,,,,,,,,,
"261-10
262-10","Main Bearing
Seals",Retain bearing lubrication,2,"Loading
Maintenance intervals
",Seal failure,"1) Lose of lubrication
2) Bearing failure",Wear/fatigue,Normal,Extra lubrication stored in lubrication system,none,"1) Surveillance camera
2) Lubrication level indicator
3) On-board inspection",1) Dry dock to replace seal failure,6,1,3,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.","Action the same as ""Wear/fatigue"" for main bearing",,,,,,,,,,,,,,,,,,,,,,,,,,
"261-11
262-11","Main Bearing
Seals",Retain bearing lubrication,2,"Loading
Maintenance intervals
",Seal failure,"1) Lose of lubrication
2) Bearing failure",Manufacturing defect,Normal,Extra lubrication stored in lubrication system,none,"1) Surveillance camera
2) Lubrication level indicator
3) On-board inspection",1) Dry dock to replace seal failure,2,1,3,7,7,Low,Low,Low,Low,1) Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class.,See risk ID 210-3 for comment,,,,,,,,,,,,,,,,,,,,,,,,,,
"261-12
262-12","Main Bearing
Seals",Retain bearing lubrication,2,"Loading
Maintenance intervals
",Seal failure,"1) Lose of lubrication
2) Bearing failure",Contamination puncture,Normal,Extra lubrication stored in lubrication system,none,"1) Surveillance camera
2) Lubrication level indicator
3) On-board inspection",1) Dry dock to replace seal failure,2,1,3,7,7,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"261-13
262-13","Main Bearing
Seals",Retain bearing lubrication,2,"Loading
Maintenance intervals
",Seal failure,"1) Lose of lubrication
2) Bearing failure",Deformation of shaft,Normal,Extra lubrication stored in lubrication system,none,"1) Surveillance camera
2) Lubrication level indicator
3) On-board inspection",1) Dry dock to replace seal failure,2,1,3,7,7,Low,Low,Low,Low,1) FEA to show ldeformation of shaft to be within range of seal tolerance,"Action the same as ""Deformation of shaft"" for main bearing",,,,,,,,,,,,,,,,,,,,,,,,,,
"261-2
262-2",Main Bearings,"Allow smooth rotation of rotor
Constrain relative generator (and float/nacelle) motion to 1 DOF
Transmit loads from drive arms to nacelle tube
Transmit loads on PTO hulls to PTO shafts",2,"Loading
Maintenance intervals
",Binding,"1) Damaged raceway
2) Broken rollers
3) Added friction
",Manufacturing defect,Normal,V&V,none,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Moderate increase in friction accepted,4,1,1,5,6,Low,Low,Low,Low,"1) Cpower to provide evidence that maintenance not needed in 20 years by manufacturer for all loading cases and with use of lubrication system
2) Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class.","General comment for components with maintenance intervals in novel aspects:
Please clarify if the manufacturer is able to provide evidence that reliability of the component is compatible to the occurrence class, given the loading envelopes (FLS and ULS) of the WEC.",Lubrication (split water/oil) in novel aspects - There is no water in the main bearings. The bearings each have seals that keep lubrication in and contamination out.,,,,,,,,,,,,,,,,,,,,,,,,,
"261-3
262-3",Main Bearings,"Allow smooth rotation of rotor
Constrain relative generator (and float/nacelle) motion to 1 DOF
Transmit loads from drive arms to nacelle tube
Transmit loads on PTO hulls to PTO shafts",2,"Loading
Maintenance intervals
",Binding,"1) Damaged raceway
2) Broken rollers
3) Added friction
","Contamination, corrosion",Normal,Bearing seals,"1) Bearing and lubrication checks, look for signs of bearing failure and contaminants in used grease.","1) Vibration sensors
2) bearing temperature
3) lubrication inspection",Moderate increase in friction accepted,5,1,1,5,6,Low,Low,Low,Low,"1) Cpower to provide evidence that maintenance not needed in 20 years by manufacturer for all loading cases and with use of lubrication system
2) Metal content / foreign particles in lubrication oil to be monitored and implementation of early detection measure in order to limit the consequence of failure. ",,Lubrication (split water/oil) in novel aspects - There is no water in the main bearings. The bearings each have seals that keep lubrication in and contamination out.,,,,,,,,,,,,,,,,,,,,,,,,,
"261-4
262-4",Main Bearings,"Allow smooth rotation of rotor
Constrain relative generator (and float/nacelle) motion to 1 DOF
Transmit loads from drive arms to nacelle tube
Transmit loads on PTO hulls to PTO shafts",2,"Loading
Maintenance intervals
",Binding,"1) Damaged raceway
2) Broken rollers
3) Added friction
",Extreme loading,Normal,None,none,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Moderate increase in friction accepted,5,1,1,5,6,Low,Low,Low,Low,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) Research how to measure loads during StingRAY to increase certainty of extreme load modelling
3) Cpower to provide evidence that maintenance not needed in 20 years by manufacturer for all loading cases and with use of lubrication system
4) FEA to show loading on bearing considers deformation of shaft",,Lubrication (split water/oil) in novel aspects - There is no water in the main bearings. The bearings each have seals that keep lubrication in and contamination out.,AS,,,,,,,,,,,,,,,,,,,,,,,,
"261-5
262-5",Main Bearings,"Allow smooth rotation of rotor
Constrain relative generator (and float/nacelle) motion to 1 DOF
Transmit loads from drive arms to nacelle tube
Transmit loads on PTO hulls to PTO shafts",2,"Loading
Maintenance intervals
",Bearing Failure,"1) Damaged raceway
2) Broken rollers
3) Added friction
4) Bearing damaged and unusable
",Extreme loading,Normal,None,none,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",dry dock replacement,5,1,1,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) Research how to measure loads during StingRAY to increase certainty of extreme load modelling
3) Cpower to provide evidence that maintenance not needed in 20 years by manufacturer for all loading cases and with use of lubrication system","Suggest text for recommended action:
Demonstrate, via structural analysis, the loading on the bearing is within the acceptance criteria, considering induction of other modes of loading, such as bending moment due to the long torque arm of float drive arms.",Lubrication (split water/oil) in novel aspects - There is no water in the main bearings. The bearings each have seals that keep lubrication in and contamination out.,AS,,,,,,,,,,,,,,,,,,,,,,,,
"261-6
262-6","Main Bearing
Seals",Retain bearing lubrication,2,"Loading
Maintenance intervals
",Loss of lubrication,"1) Lubrication leaks out
2) Increase service outside of maintenance interval

",Wear/fatigue,Normal,Extra lubrication stored in lubrication system,none,"1) Surveillance camera
2) Lubrication level indicator
3) On-board inspection",1) Increase service outside of maintenance interval,7,1,3,1,5,Low,Low,Low,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.","Action the same as ""Wear/fatigue"" for main bearing",,,,,,,,,,,,,,,,,,,,,,,,,,Use central lubrication system with small piping to all bearing lub points. Investigate lubrication canisters and camera locations for visual inspections 
"261-7
262-7","Main Bearing
Seals",Retain bearing lubrication,2,"Loading
Maintenance intervals
",Loss of lubrication,"1) Lubrication leaks out
2) Increase service outside of maintenance interval

",Manufacturing defect,Normal,Extra lubrication stored in lubrication system,none,"1) Surveillance camera
2) Lubrication level indicator
3) On-board inspection",1) Increase service outside of maintenance interval,3,1,3,1,5,Low,Low,Low,Low,1) Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class.,See risk ID 210-3 for comment,,,,,,,,,,,,,,,,,,,,,,,,,,Use central lubrication system with small piping to all bearing lub points. Investigate lubrication canisters and camera locations for visual inspections 
"261-8
262-8","Main Bearing
Seals",Retain bearing lubrication,2,"Loading
Maintenance intervals
",Loss of lubrication,"1) Lubrication leaks out
2) Increase service outside of maintenance interval

",Contamination puncture,Normal,Extra lubrication stored in lubrication system,none,"1) Surveillance camera
2) Lubrication level indicator
3) On-board inspection",1) Increase service outside of maintenance interval,3,1,3,1,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use central lubrication system with small piping to all bearing lub points. Investigate lubrication canisters and camera locations for visual inspections 
"261-9
262-9","Main Bearing
Seals",Retain bearing lubrication,2,"Loading
Maintenance intervals
",Loss of lubrication,"1) Lubrication leaks out
2) Increase service outside of maintenance interval

",Deformation of shaft,Normal,Extra lubrication stored in lubrication system,none,"1) Surveillance camera
2) Lubrication level indicator
3) On-board inspection",1) Increase service outside of maintenance interval,3,1,3,1,5,Low,Low,Low,Low,1) FEA to show ldeformation of shaft to be within range of seal tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265-1
266-1","Idler Bearing - STBD
Idler Bearing - PORT","Attach float idler arm to nacelle tube / PTO shaft
Support radial and axial loads",2,"Loading
Maintenance intervals
",Binding,"1) Reduced efficiency 
2) Increased friction",Wear/fatigue,Normal,None,none,"1) Vibration sensors
",Dry dock to replace bushing,6,1,1,7,7,Low,Low,Med,Med,1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.,"Action the same as ""Wear/fatigue"" for main bearing",,,,,,,,,,,,,,,,,,,,,,,,,,"Vibration sensors on the inside of the nacelle tube, starboard side. Port side vibration sensors on shaft"
"265-2
266-2","Idler Bearing - STBD
Idler Bearing - PORT","Attach float idler arm to nacelle tube / PTO shaft
Support radial and axial loads",2,"Loading
Maintenance intervals
",Binding,"1) Reduced efficiency 
2) Increased friction",Manufacturing defect,Normal,V&V,none,"1) Vibration sensors
",Dry dock to replace bushing,4,1,1,7,7,Low,Low,Low,Low,1) Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class.,See risk ID 210-3 for comment,,,,,,,,,,,,,,,,,,,,,,,,,,
"265-3
266-3","Idler Bearing - STBD
Idler Bearing - PORT","Attach float idler arm to nacelle tube / PTO shaft
Support radial and axial loads",2,"Loading
Maintenance intervals
",Binding,"1) Reduced efficiency 
2) Increased friction",Debris,Normal,none,none,"1) Vibration sensors
",Dry dock to replace bushing,6,1,1,7,7,Low,Low,Med,Med,"CP to define a debris management plan:
1. Define the acceptance criteria for debris, taking into account the gap between the bearings, the maximum acceptable damage. 
2. Define the debris management plan, such as design of diversion features for debris of unacceptable size, design features to reduce the part count per unit volume of debris and external debris identification and management.
CP to document the management plan, demonstrating the measures are being implemented in design, manufacturing and 
operational stages.
Consider the debris in the wear rate of the bearing pads, if not already considered by the manufacturer. The assessment of the effect of debris on bearing wear rate shall be based on the results of the site assessment on debris at the deployment site. Following that, the bearing inspection and maintenance plan can be defined based on the results of the assessments.  
It is to be demonstrate that the bearing life, considering the additional wear due to debris, is within the design limits between maintenance periods.
","CP to define a debris management plan:
1. Define the acceptance criteria for debris, taking into account the gap between the bearings, the maximum acceptable damage. 
2. Define the debris management plan, such as design of diversion features for debris of unacceptable size, design features to reduce the part count per unit volume of debris and external debris identification and management.
CP to document the management plan, demonstrating the measures are being implemented in design, manufacturing and 
operational stages.
Consider the debris in the wear rate of the bearing pads, if not already considered by the manufacturer. The assessment of the effect of debris on bearing wear rate shall be based on the results of the site assessment on debris at the deployment site. Following that, the bearing inspection and maintenance plan can be defined based on the results of the assessments.  
It is to be demonstrate that the bearing life, considering the additional wear due to debris, is within the design limits between maintenance periods.
",,,,,,,,,,,,,,,,,,,,,,,,,,
"265-4
266-4","Idler Bearing - STBD
Idler Bearing - PORT","Attach float idler arm to nacelle tube / PTO shaft
Support radial and axial loads",3,"Loading
Maintenance intervals
",Binding,"1) Reduced efficiency 
2) Increased friction",Extreme loading,Normal,none,none,"1) Vibration sensors
",Dry dock to replace bushing,5,1,1,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) Research how to measure loads during StingRAY to increase certainty of extreme load modelling
3) Cpower to provide evidence that maintenance not needed in 20 years by manufacturer for all loading cases and with use of lubrication system
4) FEA to show loading on bearing considers deformation of shaft","Action the same as ""Extreme Loading"" for main bearing",,,,,,,,,,,,,,,,,,,,,,,,,,
"265-5
266-5","Idler Bearing - STBD
Idler Bearing - PORT","Attach float idler arm to nacelle tube / PTO shaft
Support radial and axial loads",4,"Loading
Maintenance intervals
",Binding,"1) Reduced efficiency 
2) Increased friction",Deformation of shaft,Normal,none,none,"1) Vibration sensors
",Dry dock to replace bushing,5,1,1,7,7,Low,Low,Med,Med,1) FEA to show ldeformation of shaft to be within range of seal tolerance,"Action the same as ""Deformation of shaft"" for main bearing",,,,,,,,,,,,,,,,,,,,,,,,,,
270-1,"Stator Cart
Torque Rods","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Single torque rod failure,"1) Stator segment loosely attached to outer housing
2) Shut down MoMo for stator group
3) Large side load on V-rail",Wear/fatigue ,Normal,1) Redundant torque rod,none,"1) Surveillance camera
2) Surveillance microphone ",Dry dock to replace torque rod,7,1,1,6,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.
3) take into consideration the following loads in the derivation of fatigue loading: 
1. Load induced due to dynamic movement of the stator carts on the rotor 
2. Magnetic force induced by the rotor.
Fatigue assessment to demonstrate the structural strength is within the acceptance criteria in the standard. 
Recommended fatigue assessment methodology as below:
Use of the design fatigue factor (DFF) philosophy in DNV-RP-0005 (DNV-RP-C205) in fatigue assessment.
To take into account of the uncertainties in the loading, CP to define the fatigue philosophy which includes the definition of loading and structure response for fatigue damage calculation. CP shall define fatigue load cases that are representative of the lifetime of the specific components. 
Due to the level of uncertainties in the loading methodology, validation of the methodology for loading calculation, estimation of structural response based on the assessment of the data acquired from the existing prototype WECs should be provided.
In the fatigue calculation, the appropriate SN-curves need to be applied, taking into account the allowance for corrosion in case the corrosion protection system cannot provide full corrosion protection. ","1. Probability class same as FLS design
2. Action the same as ""Wear/Fatigue"" for main bearing and to take into consideration the following loads in the derivation of fatigue loading: 
1. Load induced due to dynamic movement of the stator carts on the rotor 
2. Magnetic force induced by the rotor.
Fatigue assessment to demonstrate the structural strength is within the acceptance criteria in the standard. 
Recommended fatigue assessment methodology as below:
Use of the design fatigue factor (DFF) philosophy in DNV-RP-0005 (DNV-RP-C205) in fatigue assessment.
To take into account of the uncertainties in the loading, CP to define the fatigue philosophy which includes the definition of loading and structure response for fatigue damage calculation. CP shall define fatigue load cases that are representative of the lifetime of the specific components. 
Due to the level of uncertainties in the loading methodology, validation of the methodology for loading calculation, estimation of structural response based on the assessment of the data acquired from the existing prototype WECs should be provided.
In the fatigue calculation, the appropriate SN-curves need to be applied, taking into account the allowance for corrosion in case the corrosion protection system cannot provide full corrosion protection. ",,,,,,,,,,,,,,,,,,,,,,,,,,"1) Items to be inspected by cameras have paint and indicators on them for the inspection
2) Surveillance audio - mechanical noise in PTO space"
270-10,"Stator Cart
Wheel load pin","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Single track roller failure,"1) Single track roller load pin fails
2) Stator makes contact with rotor
3) Permanent damage to surrounding rotors and stators",fatigue ,Normal,none,none,"1) SCADA diagnostics
2) Surveillance camera
3) Surveillance microphone 
4) Accelerometer
5) Gap sensors",Dry dock to replace damaged components,7,1,1,8,8,Low,Low,Med,Med,Investigation of design and requirement for load pins. ,"CP to provide more specific description of the function
Fatigue and overload failure causes separated. 
See main bearing and Stator Cart Torque Rods for recommended action",The load pin is used to measure the normal force in each wheel. This data is used to guide future designs of the wheels. The wheels are large because of the high load on them.,AS,,,,,,,,,,,,,,,,,,,,,,,,
270-11,"Stator Cart
Wheel load pin","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,,Single track roller failure,,Deformation of rotor,,,,,,5,1,1,8,8,Low,Low,Med,Med,"Identify the likely rotor deformation during operating conditions and extreme events. In the rotor FE model, the deformation is to be assessed with the stator/rotor loads and the environmental loading, and estimate the mode and magnitude of deformation in FE analysis. In the FE model, the results shall demonstrate stresses are within the acceptance criteria for associated strain and stresses imposed on the component. Measures to improve the design of the component to reduce deformation can be considered, if it is necessary. ","Action the same as ""Deformation of rotor"" for stator cart torque rods",,,,,,,,,,,,,,,,,,,,,,,,,,
270-12,"Stator Cart
Track rollers","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour
Wear rate",Single track roller failure,"1) Roller bearing not functioning properly
2) Wheels slide on track
3) Increase wear on the wheel 
4) Air gap no longer controlled at that location
5) stator makes contact with rotor",Wear/fatigue ,Normal,None,none,"1) Surveillance camera
2) Accelerometer on rotor/shaft
3) Noise detected on microphone",Dry dock to replace damaged components,7,1,1,6,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) The wheel manufacturer has a calculation to determine the L10 life of the bearing. The calculation includes radial load, speed, basic dynamic load rating, and time. The radial load will be measured from the load pins, the speed will be measured by the encoders, the basic dynamic load rating is a constant value for each part, and time will be accumulated. These values will be used to ensure the life is within expected values.
3) Our land based generator test will be used to validate our design values.","CP to provide more specific description of the function
Occurrence compatible to FLS design.
Refer to main bearing for the recommended action on reducing uncertainties in loading
Wheel wear rate to be estimated via testing. The test results shall be used as the evidence to demonstrate that the wear rate on the wheel between maintenance intervals is within the acceptance criteria.
",The track rollers are wheels that are attached to the stator cart. These wheel ride on tracks that are attached to the rotor. The wheels maintain the airgap between the stator and rotor.,,,,,,,,,,,,,,,,,,,,,,,,,
270-13,"Stator Cart
Track rollers","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour
Wear rate",Single track roller failure,"1) Air gap no longer controlled at that location
2) stator makes contact with rotor
3) Permanent damage to surrounding rotors",Manufacturing defect,Normal,1) V&V (commissioning testing and post inspection),none,"1) Surveillance camera
2) Accelerometer on rotor/shaft
3) Noise detected on microphone",Dry dock to replace damaged components,3,1,1,8,8,Low,Low,Low,Low,1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.,"CP to provide more specific description of the function
See risk ID 210-3 for comment",,,,,,,,,,,,,,,,,,,,,,,,,,
270-14,"Stator Cart
Track rollers","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour
Wear rate",Single track roller failure,"1)  Increase wear on the wheel 
2) Air gap no longer controlled at that location
3) stator makes contact with rotor",Excessive wear (debris),Normal,None,None,"1) Surveillance camera
2) Accelerometer on rotor/shaft",Dry dock to replace damaged components,7,1,1,6,7,Low,Low,Med,Med,"1. Design of the roller to take into account higher level of contamination. Sufficient wear allowance between maintenance intervals shall be demonstrated (using the results from testing). The level of contamination shall be compatible with the expected debris in the compartment
2. CP to define a debris management plan, including but not limited to the follow aspects:
a. Define the acceptance criteria for debris
b. Debris identification and management.
c. Design of diversion features for debris of unacceptable size, or design to reduce the impact on air gap due to the presence of debris.
d. Design features to reduce the part count per unit volume of debris.
CP to document the management plan, demonstrating the measures are being implemented in design, manufacturing and operational stages.","CP to provide more specific description of function
Suggested text for recommended action:
1. Design of the roller to take into account higher level of contamination. Sufficient wear allowance between maintenance intervals shall be demonstrated (using the results from testing). The level of contamination shall be compatible with the expected debris in the compartment
2. CP to define a debris management plan, including but not limited to the follow aspects:
a. Define the acceptance criteria for debris
b. Debris identification and management.
c. Design of diversion features for debris of unacceptable size, or design to reduce the impact on air gap due to the presence of debris.
d. Design features to reduce the part count per unit volume of debris.
CP to document the management plan, demonstrating the measures are being implemented in design, manufacturing and operational stages.",,,,,,,,,,,,,,,,,,,,,,,,,,
270-15,"Stator Cart
Track","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Air gap tolerance exceeded,"1) Air gap no longer controlled at that location
",Debris,Normal,none,none,"1) Surveillance camera
2) Accelerometer on rotor/shaft
3) Noise detected on microphone",plastic air hose used to clean off either inboard or outboard track,5,1,1,5,4,Low,Low,Low,Low,,"It is expected damage on the rotors will occur (worst case) if air gap is not kept.
CP to provide more specific description of the function.
Suggested text for recommended action:
CP to define a debris management plan, including but not limited to the follow aspects:
a. Define the acceptance criteria for debris
b. Debris identification and management.
c. Design of diversion features for debris of unacceptable size, or design to reduce the impact on air gap i due to the presence of debris.
d. Design features to reduce the part count per unit volume of debris.
CP to document the management plan, demonstrating the measures are being implemented in design, manufacturing and operational stages.",The piece of debris would have to be extremely large to cause the v-wheel to jump off of the track. This is not expected and is the only way contact can happed between the stator and the rotor.,,,,,,,,,,,,,,,,,,,,,,,,,
270-16,"Stator Cart
Stator segment mount","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Failure of mechanical mounting,"1) Stator segment no longer attached to outer housing
2) Stator makes contact with rotor
3) Permanent damage to surrounding rotors and stators",Improper installation,Normal,"1) V&V (commissioning testing and post inspection)
2) Redundant hardware",none,"1) Surveillance camera
2) Accelerometer on rotor/shaft
3) Noise detected on microphone",Dry dock to replace damaged components,7,1,1,8,8,Low,Low,Med,Med,A quality control plan to be implemented to verify correct assembly of every component during assembly.,"For probability of occurrence to be low (class 3), a quality control plan needs to be defined and implemented to verify the installation is correct. Hence, suggest increasing probability to class 7, and include the following recommended action:
A quality control plan to be implemented to verify correct assembly of every component during assembly.","All fasteners must be torqued to a set value. Once torqued, they are painted and checked prior to assembly sign off. Additionally, during commissioning testing, all components will be tested to ensure they are installed properly. Does this still need to be a 7?",,,,,,,,,,,,,,,,,,,,,,,,,
270-17,"Stator Cart
Stator segment mount","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Failure of mechanical mounting,"1) Stator segment no longer attached to outer housing
2) Stator makes contact with rotor
3) Permanent damage to surrounding rotors and stators",Manufacturing defect,Normal,"1) V&V (commissioning testing and post inspection)
2) Redundant hardware",none,"1) Surveillance camera
2) Accelerometer on rotor/shaft
3) Noise detected on microphone",Dry dock to replace damaged components,3,1,1,8,8,Low,Low,Low,Low,,"For probability of occurrence to be low (class 3), a quality control plan needs to be defined and implemented to verify the quality of the component. Please explain the quality control in place for the component and higher occurrence class is recommended.","The commissioning testing will test each stator segment up to its full torque value. If an defect is found, it will be in a controlled enviornment and on the dock.",,,,,,,,,,,,,,,,,,,,,,,,,
